Ethnicity,Age,Median Hourly Pay
Arab,16-29,-23.2
Asian Other,16-29,0.7
Bangladeshi,16-29,-1.8
Black African,16-29,-12.8
Black Caribbean,16-29,-2.7
Black Other,16-29,-6.4
Chinese,16-29,-45.5
Indian,16-29,-14.6
Other ethnic group,16-29,-2.9
Other mixed/multiple ethnic groups,16-29,8.7
Pakistani,16-29,1.9
White and Asian,16-29,-20.0
White and Black African,16-29,1.4
White and Black Caribbean,16-29,4.5
White Irish,16-29,-30.5
White Other,16-29,-1.8
Arab,30+,10.9
Asian Other,30+,12.2
Bangladeshi,30+,22.6
Black African,30+,15.7
Black Caribbean,30+,7.6
Black Other,30+,7.7
Chinese,30+,-19.3
Indian,30+,-12.3
Other ethnic group,30+,15.4
Other mixed/multiple ethnic groups,30+,-6.1
Pakistani,30+,15.8
White and Asian,30+,-14.1
White and Black African,30+,-0.9
White and Black Caribbean,30+,6.3
White Irish,30+,-36.4
White Other,30+,8.9
